name,image_src,url,table_check
รศ. พญ.กติกา นวพันธุ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587712654_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2_%E0%B8%99%E0%B8%A7%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=656,"เสาร์ 14:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. พญ.กนกรัตน์ พรพาณิชย์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587630416_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C_%E0%B8%9E%E0%B8%A3%E0%B8%9E%E0%B8%B2%E0%B8%93%E0%B8%B4%E0%B8%8A%E0%B8%A2%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=19,"พุธ 08:00 - 11:15 น. สัปดาห์ที่ 1,2,3,4,5"
อ. พญ.กนกรัตน์ สุวรรณสิทธิ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588049253_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C_%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=430,"พฤหัสบดี 13:30 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 16:00 - 19:00 น. สัปดาห์ที่ 2,4"
ทพญ.กนกอร ตันติพาณิชย์กูล,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1199,"พุธ 16:30 - 19:30 น. สัปดาห์ที่ 3,4"
ผศ. นพ.กมล เผือกเพ็ชร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587629390_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A1%E0%B8%A5_%E0%B9%80%E0%B8%9C%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B9%80%E0%B8%9E%E0%B9%87%E0%B8%8A%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=2,"พุธ 16:00 - 18:00 น. สัปดาห์ที่ 1,3,5 อาทิตย์ 10:00 - 12:00 น. สัปดาห์ที่ 2,4"
ทพญ.กมลชนก ศรีเมืองธน,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588040358_%E0%B8%97%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B8%8A%E0%B8%99%E0%B8%81_%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%98%E0%B8%99.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=699,"จันทร์ 08:30 - 12:00 น. สัปดาห์ที่ 1,2,4,5 08:30 - 12:00 น. สัปดาห์ที่ 3 13:00 - 16:00 น. สัปดาห์ที่ 1,2,4,5 13:00 - 16:00 น. สัปดาห์ที่ 3 16:30 - 19:30 น. สัปดาห์ที่ 1,2,4,5 16:30 - 19:30 น. สัปดาห์ที่ 3 อังคาร 08:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 16:30 - 19:30 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 08:00 - 12:00 น. สัปดาห์ที่ 1 08:30 - 12:00 น. สัปดาห์ที่ 2,3,4,5 12:30 - 16:00 น. สัปดาห์ที่ 1 13:00 - 16:00 น. สัปดาห์ที่ 2,3,4,5 16:30 - 19:30 น. สัปดาห์ที่ 1 16:30 - 19:30 น. สัปดาห์ที่ 2,3,4,5 อาทิตย์ 08:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5"
ผศ. พญ.กมลทิพย์ กุลวิภากร,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1272,พุธ 10:30 - 12:00 น.
ศ.คลินิก พญ.กมลทิพย์ หาญผดุงกิจ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587713725_%E0%B8%A3%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C_%E0%B8%AB%E0%B8%B2%E0%B8%8D%E0%B8%9C%E0%B8%94%E0%B8%B8%E0%B8%87%E0%B8%81%E0%B8%B4%E0%B8%88.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=606,"จันทร์ 08:00 - 09:30 น. สัปดาห์ที่ 1,2,3,4,5 11:30 - 13:00 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. พญ.กมลเนตร วรรณเสวก,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587631280_%E0%B8%AD.%E0%B8%9E%E0%B8%8D._%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B9%80%E0%B8%99%E0%B8%95%E0%B8%A3_%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%E0%B9%80%E0%B8%AA%E0%B8%A7%E0%B8%81.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=30,"ศุกร์ 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5"
พญ.กมลวรรธก์ สุทธิภูล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1701313919_%E0%B8%81%E0%B8%A1%E0%B8%A5%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%98%E0%B8%81%E0%B9%8C_%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%A0%E0%B8%B9%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1220,"เสาร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,3,5 13:00 - 15:00 น. สัปดาห์ที่ 2,4"
รศ. นพ.กรกฎ ศิริมัย,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587631589_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A3%E0%B8%81%E0%B8%8E_%E0%B8%A8%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%B1%E0%B8%A2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=36,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 16:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 14:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5"
พญ.กรณษา จันทร์แก้ว,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1662690156_Kornnasa.C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1214,"อังคาร 10:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 12:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. นพ.กรภัทร มยุระสาคร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587710881_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A3%E0%B8%A0%E0%B8%B1%E0%B8%97%E0%B8%A3_%E0%B8%A1%E0%B8%A2%E0%B8%B8%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B2%E0%B8%84%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=676,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,3,5 อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 2,4 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 2 09:00 - 14:00 น. สัปดาห์ที่ 3"
อ. พญ.กรมิกา วินิจกุล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587712264_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A3%E0%B8%A1%E0%B8%B4%E0%B8%81%E0%B8%B2_%E0%B8%A7%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%88%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=312,"พุธ 17:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 17:30 - 18:30 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 14:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5"
นพ.กริช อัสสันตชัย,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1325,"ศุกร์ 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5"
ศ.คลินิก นพ.กริช โพธิสุวรรณ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587709041_%E0%B8%A8.%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B8%95%E0%B8%B4%E0%B8%84%E0%B8%B8%E0%B8%93_%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A3%E0%B8%B4%E0%B8%8A_%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=279,"อังคาร 09:30 - 12:00 น. สัปดาห์ที่ 3,4,5 09:30 - 12:05 น. สัปดาห์ที่ 1"
